"IT_DATETIME","DS_CODE","Q","DS_LON","DS_LAT","SAT","DIFF"
"2004-02-27","323_H",128.819444444444,51814.452727588,394869.822515975,56.0978944505445,-72.7215499938999
"2005-02-27","270_H",121.527777777778,179342.357565474,581888.955837133,45.0651223998335,-76.4626553779442
"2005-03-03","249_H",117.013888888889,127363.134926821,517331.718529087,29.9449455637104,-87.0689433251785
"2005-03-03","270_H",127.083333333333,179342.357565474,581888.955837133,21.4939292403512,-105.589404092982
"2005-03-03","273_H",100,188816.779568466,523954.40147084,35.7106823940568,-64.2893176059432
"2005-03-03","286_H",127.777777777778,272751.726353134,580083.325658519,21.936653656387,-105.841124121391
"2005-03-04","273_H",99.3055555555556,188816.779568466,523954.40147084,26.5940646884457,-72.7114908671099
"2005-03-04","278_H",102.893518518519,214278.347576477,494429.572135124,25.3202484060593,-77.5732701124593
"2005-03-04","279_H",101.157407407407,235068.282538229,529718.217110106,14.3096415996552,-86.8477658077523
"2005-03-04","280_H",98.9583333333333,235163.930454656,571426.352092331,22.7796374140266,-76.1786959193067
"2005-03-04","286_H",104.398148148148,272751.726353134,580083.325658519,16.9352088232327,-87.4629393249155
"2005-03-04","290_H",123.148148148148,257622.560870593,477180.434158967,41.5911726611087,-81.5569754870394
"2005-03-05","249_H",87.6157407407407,127363.134926821,517331.718529087,27.175630477302,-60.4401102634387
"2005-03-05","270_H",120.717592592593,179342.357565474,581888.955837133,35.3839077696387,-85.3336848229539
"2005-03-05","273_H",116.435185185185,188816.779568466,523954.40147084,39.6103137607006,-76.8248714244846
"2005-03-05","279_H",131.134259259259,235068.282538229,529718.217110106,47.3364744186401,-83.7977848406191
"2005-03-05","280_H",130.671296296296,235163.930454656,571426.352092331,50.4991361256215,-80.1721601706748
"2005-03-05","286_H",143.402777777778,272751.726353134,580083.325658519,39.702031814825,-103.700745962953
"2005-03-06","210_H",127.314814814815,89480.01953647,465113.018934339,60.6225058881046,-66.6923089267102
"2005-03-06","240_H",119.328703703704,114260.677736725,481197.802257931,47.328688810034,-72.0000148936698
"2005-03-06","249_H",125.462962962963,127363.134926821,517331.718529087,17.2533888993772,-108.209574063586
"2005-03-06","260_H",115.509259259259,140783.296337002,456758.217135819,51.9743012584617,-63.5349580007976
"2005-03-06","269_H",118.402777777778,164007.270525333,496615.361243678,27.6758077870854,-90.7269699906923
"2005-03-06","270_H",80.6712962962963,179342.357565474,581888.955837133,13.2018888720338,-67.4694074242625
"2005-03-06","273_H",117.24537037037,188816.779568466,523954.40147084,24.8682350685933,-92.3771353017771
"2005-03-06","278_H",96.875,214278.347576477,494429.572135124,28.5200346130197,-68.3549653869803
"2005-03-06","279_H",108.564814814815,235068.282538229,529718.217110106,22.5314118862152,-86.0334029285996
"2005-03-06","280_H",94.5601851851852,235163.930454656,571426.352092331,20.1960410409048,-74.3641441442803
"2005-03-06","283_H",127.199074074074,242041.704143524,454037.790405784,38.2945446968079,-88.9045293772662
"2005-03-06","286_H",104.62962962963,272751.726353134,580083.325658519,23.0543685020241,-81.5752611276055
"2005-03-06","348_H",139.236111111111,123295.168771252,442405.899488456,45.5360347993116,-93.7000763117995
"2005-03-06","356_H",142.592592592593,138333.907712423,429940.26083475,53.1227663787073,-89.4698262138852
"2005-03-07","273_H",96.412037037037,188816.779568466,523954.40147084,34.235161799282,-62.1768752377551
"2005-03-07","279_H",89.1203703703704,235068.282538229,529718.217110106,26.8294429779053,-62.2909273924651
"2005-04-18","235_H",117.12962962963,114241.929065351,549045.55380952,56.1533419339188,-60.9762876957108
"2005-04-18","249_H",115.393518518519,127363.134926821,517331.718529087,52.999458524126,-62.3940599943926
"2005-04-18","257_H",119.444444444444,101759.646927494,502242.431580299,54.5875898843878,-64.8568545600566
"2005-04-18","350_H",140.972222222222,123664.975782146,397437.07360507,64.2405619621277,-76.7316602600945
"2005-04-18","377_H",151.967592592593,181233.068667045,356430.069475497,83.1059396794366,-68.861652913156
"2005-08-09","377_H",235.532407407407,181233.068667045,356430.069475497,171.81651946072,-63.7158879466875
"2006-03-02","249_H",114.699074074074,127363.134926821,517331.718529087,26.1502287150286,-88.5488453590455
"2006-03-02","269_H",139.236111111111,164007.270525333,496615.361243678,42.1324658348344,-97.1036452762768
"2006-03-02","273_H",100.925925925926,188816.779568466,523954.40147084,30.4013877246553,-70.5245382012706
"2006-03-04","269_H",108.680555555556,164007.270525333,496615.361243678,45.2213218685944,-63.4592336869611
"2006-03-05","269_H",127.314814814815,164007.270525333,496615.361243678,58.4107499920791,-68.9040648227357
"2006-03-06","278_H",131.712962962963,214278.347576477,494429.572135124,68.6395725319676,-63.0733904309954
"2007-07-09","310_H",217.939814814815,30461.9240748967,385117.837940359,129.846003006542,-88.0938118082728
"2008-05-18","210_H",299.884259259259,89480.01953647,465113.018934339,203.502699004417,-96.3815602548426
"2008-05-18","257_H",294.675925925926,101759.646927494,502242.431580299,221.545945994568,-73.129979931358
"2008-05-18","286_H",310.069444444444,272751.726353134,580083.325658519,234.474752846502,-75.5946915979422
"2008-05-18","310_H",276.388888888889,30461.9240748967,385117.837940359,213.541489410747,-62.8473994781421
"2008-05-18","330_H",309.259259259259,68078.9378130265,445503.769950935,242.505073256314,-66.7541860029457
"2008-05-18","344_H",280.092592592593,90374.9934217709,441765.314902848,197.669064543516,-82.4235280490764
"2008-05-18","377_H",174.768518518519,181233.068667045,356430.069475497,112.586652139683,-62.181866378836
"2008-08-15","277_H",234.953703703704,208993.556003806,603123.356958995,161.279407110454,-73.6742965932496
